"scientific_name","common_english","common_indonesian","common_malay","description","image_url","source_url_1","source_url_2","data_source"
"Abroscopus superciliaris","Yellow-bellied Warbler","Cikrak Bambu","Cekup Kening Putih","A small bush warbler with olive-green upperparts, bright yellow underparts, and a white eyebrow and throat. It lives in lowland to sub-montane forests, usually moving quickly in the undergrowth. Often found in small groups with other species. Its song is a short, melodious series of high whistles ending on the highest note. The species is commonly found in its range.","https://www.oiseaux.net/photos/paul.van.giersbergen/images/pouillot.a.sourcils.blancs.pava.2g.jpg","https://avibase.bsc-eoc.org/species.jsp?avibaseid=A8F5D21F","https://birdsoftheworld.org/bow/species/yebwar1/cur/introduction","birdApp classification_dict"
"Accipiter hiogaster","Variable Goshawk","Alap-alap putih","","A medium-sized raptor from Indonesia, Papua New Guinea, and the Solomon Islands. Recently split from the Grey Goshawk, it is widespread and fairly common even in degraded habitats. Very little is known about its breeding, diet, or behavior. Highly variable, with 22 subspecies, some experts suggest it may represent multiple species.","https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Variable_Goshawk_%288270598950%29.jpg/500px-Variable_Goshawk_%288270598950%29.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=A4AAB528ECA0EDBC","https://birdsoftheworld.org/bow/species/vargos1/cur/introduction","birdApp classification_dict"
"Actenoides concretus","Chestnut-collared Kingfisher","Cekakak-hutan Melayu","Pekaka Rimba","A medium-sized kingfisher (22–25.5 cm, 60–90 g) found in Brunei, Indonesia, Malaysia, Myanmar, and Thailand. It lives in tropical lowland and montane forests but is threatened by habitat loss. The bird is blue-green above with yellow spots on the back, a green crown, and a black eye mask. Some individuals show a rufous breast band, while others have entirely rufous underparts.","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Rufous-collared_Kingfisher_-_Thailand_S4E3779.jpg/500px-Rufous-collared_Kingfisher_-_Thailand_S4E3779.jpg","https://avibase.bsc-eoc.org/species.jsp?avibaseid=4A150CE8","","birdApp classification_dict"
"Aegithina tiphia","Common Iora","Cipoh Kacat","Kunyet Kecil","A small passerine bird from the Indian subcontinent and Southeast Asia, found in scrub, woodland, and cultivated areas. Breeding males are black above with bright yellow underparts and white wing bars, while non-breeding males and females are yellow-green above with black-and-white wings. Males display in flight by fluffing their feathers and spiraling in the air.","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Common_Iora.jpg/500px-Common_Iora.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=EEC311EA6A5A5319","https://ebird.org/species/comior1","birdApp classification_dict"
"Aethopyga siparaja","Crimson Sunbird","madu Sepah-raja","Kelicap Sepah Raja","A medium-sized sunbird, fairly common across much of its range, found in gardens, farmland, and open forest edges. Males are bright red with a dark grey belly, and a shiny blue crown and moustache stripe, while females are dull olive-yellow with paler underparts. It feeds mainly on nectar but also takes insects, often perching to feed though capable of hovering. It has been unofficially recognized as the national bird of Singapore.","https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Crimson_sunbird%28f%29.jpg/500px-Crimson_sunbird%28f%29.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=EC22F3AA71EC2F48","https://ebird.org/species/eacsun1","birdApp classification_dict"
"Aethopyga temminckii","Temminck's Sunbird","Madu Ekor-merah","Kelicap Merah","A medium-sized sunbird found in montane forests up to 1800 m in Borneo, Sumatra, Malaysia, and southwest Thailand. It is most often seen feeding on flowers, especially mistletoes. Males are bright crimson with a white belly, long red tail, and dark moustache stripe, while females are plain with a greyish wash on the head, white underparts, and faint pale brown edges on the wings and tail.","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Temminck%27s_Sunbird_0A2A9899.jpg/500px-Temminck%27s_Sunbird_0A2A9899.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=F89D732EBC2A5A12","https://ebird.org/species/temsun1","birdApp classification_dict"
"Alcippe brunneicauda","Brown Fulvetta","Wergan Coklat","Rimba Murai Coklat","A small, plain brown bird with a grey head and horn-grey bill, lacking distinctive markings. Found in Brunei, Indonesia, Malaysia, and Thailand, it inhabits lowland and foothill forests, and less commonly montane forests at higher elevations. Usually active in the lower and middle forest strata, often in small groups or mixed flocks. The species is threatened by habitat loss.","https://inaturalist-open-data.s3.amazonaws.com/photos/11130289/medium.jpeg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=2EAEE9C96210CC30","https://ebird.org/species/broful1","birdApp classification_dict"
"Alcippe peracensis","Mountain Fulvetta","","Rimba Murai Bukit","A plain fulvetta (14–15.5 cm) found in Cambodia, Laos, Malaysia, Thailand, and Vietnam, inhabiting subtropical or tropical montane forests. Northern subspecies have dull olive-green upperparts, a bold black line above the eye, and gray-washed underparts, while southern subspecies are richer brown above with a whiter belly. Despite its name, it does not always occur at higher altitudes than similar species.","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Mountain_Fulvetta_0A2A5955.jpg/500px-Mountain_Fulvetta_0A2A5955.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=103329EA76C2C0D2","https://ebird.org/species/mouful1","birdApp classification_dict"
"Alophoixus phaeocephalus","Yellow-bellied Bulbul","Empuloh Irang","Merbah Kepala Kelabu","A colorful, easily recognizable songbird found on the Malay Peninsula, Sumatra, and Borneo. It has a bright lemon-yellow belly, snowy white throat, bluish-grey head, and greenish upperparts, lacking a crest. Inhabits lowland and hill forests, often seen in mixed-species flocks.","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Yellow-bellied_Bulbul_0A2A7119.jpg/500px-Yellow-bellied_Bulbul_0A2A7119.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=3499C2A525F6CB71","https://ebird.org/species/yebbul2","birdApp classification_dict"
"Amaurornis phoenicurus","White-breasted Waterhen","Kareo","Ayam-ayam","A medium-sized, chicken-like waterbird found across South and Southeast Asia, common in grasslands, marshes, river edges, drains, gardens, and farmland. Adults have dark slate upperparts, white face, breast, and belly, with a rufous patch under the tail; juveniles are similar but duller. Often seen foraging in open areas and near human habitation.","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Amaurornis_phoenicurus_-_Singapore_Botanic_Gardens.jpg/500px-Amaurornis_phoenicurus_-_Singapore_Botanic_Gardens.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=F53518E3D78616E7","https://ebird.org/species/whbwat1","birdApp classification_dict"
